,.,the,",",to,of,in,and,said,a,s,for,oil,-,mln,',/,u,on,that,from,at,it,"""",is,by,tonnes,1,dlrs,be,000,was,pct,wheat,will,he,with,year,its,as,would,an,2,prices,has,not,last,(,this,were,","""
grain article346.txt,0,33,0,29,18,9,9,8,12,3,5,0,0,1,0,0,0,2,4,2,2,5,0,9,2,0,0,1,10,0,2,1,5,3,0,2,2,0,1,3,7,0,0,2,4,1,0,1,0,0
grain article408.txt,0,6,0,2,3,2,1,1,2,3,2,0,0,2,0,0,1,0,0,3,1,0,0,1,0,3,0,0,0,2,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article409.txt,0,23,0,9,5,4,5,7,4,3,2,0,0,9,0,0,0,3,1,0,1,2,0,4,0,8,0,0,3,2,2,1,7,0,4,3,2,0,0,1,1,2,0,1,3,0,0,1,0,0
grain article421.txt,0,10,0,6,6,2,7,8,3,7,0,0,0,4,0,0,6,1,3,0,2,6,0,0,1,5,0,0,3,1,3,0,2,0,7,2,4,0,1,3,2,0,0,2,3,3,0,3,0,0
grain article347.txt,0,9,0,2,5,4,4,1,0,3,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
grain article353.txt,0,4,0,7,1,1,0,0,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
grain article435.txt,0,8,0,7,2,2,1,2,2,2,1,0,0,5,0,0,1,1,1,0,0,0,0,1,2,0,0,0,3,0,0,1,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0
grain article384.txt,0,3,0,0,0,3,1,0,0,1,0,0,0,16,0,0,1,0,0,0,8,1,0,2,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
grain article390.txt,0,16,0,4,7,1,0,3,0,3,6,0,0,3,0,0,3,0,2,1,1,0,0,1,0,6,0,0,1,4,0,0,0,2,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0
grain article179.txt,0,5,0,2,1,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
grain article145.txt,0,24,0,8,5,10,3,6,8,2,4,0,0,3,0,0,0,4,3,1,1,2,0,4,3,2,1,1,0,0,2,7,0,0,2,2,6,1,3,1,1,0,0,1,1,2,0,4,0,0
grain article151.txt,0,5,0,4,1,1,1,1,3,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
grain article186.txt,0,7,0,2,6,2,4,2,1,0,1,0,0,5,0,0,4,0,0,0,0,0,0,0,1,6,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
grain article192.txt,0,10,0,2,2,8,6,5,1,1,3,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,2,2,3,0,1,2,3,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0
grain article019.txt,0,18,0,5,13,13,7,5,1,1,4,0,0,12,0,0,0,0,0,1,2,3,0,1,3,10,0,0,4,0,3,0,1,1,0,3,2,1,2,0,0,0,0,3,0,1,0,0,0,0
grain article031.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
grain article569.txt,0,33,0,24,11,11,6,24,14,13,3,0,0,4,0,0,11,4,6,3,7,3,0,6,0,0,1,0,8,0,0,3,0,8,18,4,6,0,3,5,3,1,0,2,3,0,0,8,1,0
grain article555.txt,0,17,0,7,12,1,6,3,2,1,0,0,0,6,0,0,0,3,2,0,1,1,0,2,3,8,1,1,2,5,3,0,0,2,0,0,2,1,1,0,2,0,0,3,0,0,0,2,0,0
grain article233.txt,0,12,0,4,4,1,3,5,0,3,4,0,0,0,0,0,3,0,0,2,0,0,0,1,0,3,0,2,0,3,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
grain article227.txt,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,19,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
grain article541.txt,0,7,0,2,2,1,1,1,6,0,3,0,0,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0
grain article283.txt,0,3,0,0,2,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
grain article297.txt,0,4,0,1,6,1,4,3,0,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,7,2,0,0,6,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article268.txt,0,18,0,10,9,7,10,10,7,6,2,0,0,2,0,0,6,1,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,1,0,3,2,0,0,0,2,0,0
grain article240.txt,0,14,0,3,5,1,3,1,2,3,3,0,0,1,0,0,3,1,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0
grain article526.txt,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article532.txt,0,2,0,2,0,7,12,0,4,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,3,9,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,1,0
grain article254.txt,0,6,0,6,5,2,4,1,1,0,5,0,0,0,0,0,3,0,0,2,3,0,0,0,3,1,0,0,0,1,0,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0
grain article081.txt,0,11,0,8,6,3,6,5,3,10,2,0,0,0,0,0,8,7,2,1,1,0,0,3,2,0,0,0,0,0,1,1,0,4,1,2,1,4,8,1,1,0,0,2,1,1,0,0,0,0
grain article095.txt,0,4,0,4,5,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,4,2,0,3,0,1,2,0,0,0,0,1,1,0,2,2,0,0,1,0,1,0,0,1,0
grain article042.txt,0,1,0,0,0,2,0,0,0,2,0,0,0,8,0,0,1,0,0,0,4,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
grain article056.txt,0,1,0,0,1,6,1,0,9,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,2,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0
grain article136.txt,0,15,0,7,8,2,2,6,4,0,4,0,0,1,0,0,0,2,1,2,2,1,0,1,2,2,0,0,0,1,1,0,0,1,1,1,2,0,1,1,0,0,0,2,0,0,0,3,0,0
grain article122.txt,0,6,0,7,3,3,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
grain article491.txt,0,9,0,5,4,1,2,3,1,2,2,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
grain article485.txt,0,12,0,11,4,1,2,3,2,3,0,0,0,0,0,0,2,2,5,0,1,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0
grain article308.txt,0,18,0,33,11,17,20,2,5,9,4,0,0,18,0,0,0,0,0,2,2,0,0,6,2,9,9,0,3,0,2,13,0,1,0,2,7,0,1,2,1,8,0,0,2,8,0,3,2,0
grain article334.txt,0,12,0,6,3,0,0,4,3,2,3,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0
grain article452.txt,0,30,0,13,20,9,12,12,7,2,4,0,0,13,0,0,1,2,6,5,1,2,0,6,3,0,1,3,12,3,0,1,3,2,1,2,3,1,1,13,2,0,1,0,2,1,0,1,1,0
grain article446.txt,0,8,0,4,9,6,2,4,2,1,0,0,0,1,0,0,0,0,0,1,1,2,0,2,1,6,1,0,0,4,2,0,0,0,1,1,1,0,0,0,0,1,0,2,0,1,0,1,0,0
grain article320.txt,0,9,0,6,3,0,1,4,3,3,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0
grain article447.txt,0,9,0,1,6,4,0,3,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,2,0,1,0,0
grain article321.txt,0,6,0,3,1,2,5,0,2,1,4,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
grain article335.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article453.txt,0,8,0,5,2,1,1,3,4,10,0,0,0,0,0,0,9,6,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0
grain article309.txt,0,14,0,10,4,6,3,3,2,2,1,0,0,4,0,0,2,3,4,0,1,1,0,1,2,0,0,4,1,0,1,1,2,0,5,2,0,0,2,4,0,0,1,0,2,0,0,0,0,0
grain article484.txt,0,11,0,3,3,4,4,2,2,4,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0
grain article490.txt,0,50,0,15,13,13,8,8,5,3,6,0,0,1,0,0,3,1,3,2,3,4,0,0,7,1,0,2,4,0,1,4,0,2,0,1,1,0,5,4,2,0,4,5,0,0,0,2,0,0
grain article123.txt,0,22,0,15,12,8,12,9,7,3,5,1,0,1,0,0,0,5,2,5,3,3,0,0,1,0,1,4,1,0,2,0,0,0,5,1,5,2,0,3,1,1,3,5,0,0,0,2,0,0
grain article137.txt,0,6,0,1,1,0,4,3,1,1,4,0,0,2,0,0,1,1,0,2,2,1,0,2,0,2,0,2,0,1,0,4,0,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
grain article057.txt,0,9,0,2,5,1,4,2,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,1,0,4,0,1,1,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grain article043.txt,0,2,0,0,0,0,1,0,0,3,0,0,0,8,0,0,1,0,0,0,4,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
grain article094.txt,0,10,0,4,11,5,4,2,6,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,2,1,1,0,2,0,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0
grain article080.txt,0,5,0,1,2,5,2,3,0,1,2,0,0,1,0,0,0,2,0,2,0,4,0,1,1,1,0,0,1,0,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
grain article533.txt,0,13,0,3,10,8,2,3,1,1,0,0,0,8,0,0,0,0,5,3,0,2,0,3,1,4,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,2,4,0,0,0,0,0
grain article255.txt,0,13,0,11,4,5,4,8,1,2,3,0,0,0,0,0,0,4,0,1,1,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,1,0,3,4,0,0,0,1,0,0
grain article241.txt,0,22,0,15,10,7,8,11,4,3,5,0,0,0,0,0,1,2,2,1,7,10,0,5,2,0,0,2,1,2,2,0,10,0,0,1,0,2,2,0,2,0,0,0,2,0,0,0,1,0
grain article527.txt,0,10,0,6,4,1,2,4,2,1,2,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,1,1,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
grain article269.txt,0,7,0,1,3,0,1,2,0,3,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0
grain article296.txt,0,8,0,5,6,1,3,3,0,4,6,0,0,7,0,0,3,1,0,3,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
grain article282.txt,0,3,0,0,2,2,0,0,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grain article294.txt,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
grain article280.txt,0,21,0,8,6,6,4,6,0,4,4,0,0,5,0,0,4,1,0,3,2,1,0,0,0,3,1,2,0,0,0,1,7,3,0,0,1,2,1,0,1,1,2,1,0,0,0,0,1,0
grain article519.txt,0,59,0,13,17,20,22,18,7,8,9,0,0,0,0,0,0,0,1,2,3,8,0,12,5,0,0,0,1,0,3,4,5,2,0,7,2,2,4,0,2,0,0,4,3,3,0,3,0,0
grain article257.txt,0,13,0,5,10,3,8,5,3,3,4,0,0,0,0,0,1,0,2,3,0,0,0,0,1,4,0,0,1,8,1,0,0,3,3,1,0,0,0,0,0,0,1,2,1,0,0,3,2,0
grain article531.txt,0,7,0,9,4,7,3,2,1,10,0,0,0,4,0,0,7,0,0,6,0,0,0,1,0,1,3,5,2,0,0,0,0,1,1,2,4,0,0,1,0,1,1,0,0,4,0,0,0,0
grain article525.txt,0,29,0,11,21,4,8,10,6,10,10,0,0,7,0,0,7,4,7,3,0,1,0,3,2,7,0,0,1,0,2,3,2,1,0,2,2,1,0,0,1,1,0,1,1,5,0,1,0,0
grain article243.txt,0,6,0,3,3,4,0,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,2,3,1,1,0,1,2,1,3,0,0,2,1,0,0,0,0,1,0,1,0,0
grain article096.txt,0,7,0,4,3,2,0,0,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,1,1,0,1,0,0
grain article082.txt,0,15,0,3,6,1,4,3,3,1,0,0,0,2,0,0,0,1,0,0,5,0,0,1,0,6,0,0,1,4,2,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0
grain article069.txt,0,5,0,2,2,3,2,2,2,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
grain article055.txt,0,10,0,5,7,0,5,3,0,2,5,0,0,0,0,0,2,0,0,0,0,1,0,1,0,8,3,0,0,8,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article041.txt,0,3,0,0,0,0,1,0,0,3,0,0,0,12,0,0,1,0,0,0,6,1,0,0,0,9,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
grain article109.txt,0,13,0,7,6,5,8,9,6,4,8,0,0,0,0,0,4,6,3,4,2,0,0,1,2,0,2,4,6,0,0,8,2,0,6,1,0,0,2,11,0,3,5,0,2,0,0,1,0,0
grain article135.txt,0,12,0,3,9,1,3,1,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article486.txt,0,19,0,19,9,5,3,10,5,6,0,0,0,0,0,0,1,5,4,1,2,0,0,2,2,0,0,0,2,0,4,0,5,0,5,0,0,0,1,0,6,0,0,1,6,0,0,3,1,0
grain article492.txt,0,23,0,14,14,8,8,14,8,3,6,0,0,2,0,0,0,6,8,2,2,0,0,3,5,0,1,6,6,0,1,2,3,10,7,0,3,0,0,3,1,0,1,1,3,0,0,2,0,0
grain article479.txt,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article323.txt,0,11,0,1,7,4,7,7,2,1,2,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
grain article445.txt,0,7,0,4,2,3,1,3,3,7,1,0,0,0,0,0,7,2,1,0,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0
grain article451.txt,0,11,0,5,1,2,3,2,5,2,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,1,0,0,0,1,3,0,0,0,0,0
grain article337.txt,0,8,0,3,18,0,6,1,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,0,0,9,0,1,12,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
grain article450.txt,0,8,0,4,5,1,1,3,1,2,3,0,0,0,0,0,2,0,0,1,0,2,0,1,0,2,0,1,1,1,1,0,4,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
grain article336.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article322.txt,0,11,0,3,3,2,2,2,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,2,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
grain article444.txt,0,36,0,20,18,8,5,14,9,4,10,0,0,9,0,0,2,5,4,1,3,3,0,3,3,0,2,1,8,0,7,0,0,0,3,1,0,0,5,5,2,0,1,0,4,0,0,2,4,0
grain article478.txt,0,8,0,2,3,0,5,2,0,5,0,0,0,3,0,0,5,0,0,1,3,2,0,0,1,3,1,2,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
grain article493.txt,0,2,0,1,0,0,0,1,1,2,0,0,0,3,0,0,1,0,1,1,0,1,0,0,0,3,0,0,2,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0
grain article487.txt,0,7,0,1,6,0,2,1,4,1,0,0,0,0,0,0,1,0,1,1,2,2,0,0,2,3,0,2,0,3,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
grain article134.txt,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article120.txt,0,11,0,10,1,6,4,7,2,1,2,0,0,0,0,0,1,0,3,0,2,0,0,2,0,0,7,1,1,0,1,0,0,3,4,3,0,0,1,0,1,5,1,0,0,0,0,3,2,0
grain article108.txt,0,5,0,4,1,3,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
grain article040.txt,0,2,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
grain article054.txt,0,1,0,0,1,6,1,0,9,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,2,6,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0
grain article068.txt,0,2,0,11,0,3,7,0,0,0,2,0,0,0,0,0,0,1,0,3,13,2,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
grain article097.txt,0,7,0,5,5,2,1,3,0,3,2,0,0,0,0,0,3,2,0,2,0,2,0,1,0,3,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
grain article524.txt,0,20,0,10,3,13,8,10,5,4,2,0,0,1,0,0,1,3,4,0,0,5,0,2,1,1,0,0,3,0,0,2,0,5,0,1,2,0,2,0,2,0,0,2,2,1,0,1,0,0
grain article242.txt,0,6,0,2,4,2,5,1,1,1,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0
grain article256.txt,0,13,0,14,3,0,10,2,12,4,9,0,0,0,0,0,5,2,0,14,17,0,0,0,1,1,0,17,1,13,4,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0
grain article530.txt,0,42,0,13,17,11,16,14,16,8,9,0,0,6,0,0,2,10,1,1,0,3,0,3,3,0,0,2,1,0,1,4,0,1,0,0,6,3,1,2,2,2,0,3,0,2,0,4,0,0
grain article518.txt,0,39,0,30,8,6,6,11,12,8,0,0,0,1,0,0,5,3,6,1,2,4,0,4,1,1,0,0,4,0,1,0,8,2,7,1,0,1,1,2,1,0,1,3,10,2,0,2,0,0
grain article281.txt,0,0,0,2,1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
grain article295.txt,0,9,0,1,3,4,3,2,4,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0
grain article291.txt,0,22,0,8,16,8,5,11,3,2,3,0,0,6,0,0,1,3,5,1,1,1,0,2,1,0,0,6,0,0,0,0,0,2,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0
grain article285.txt,0,2,0,0,1,0,1,2,1,3,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
grain article534.txt,0,5,0,5,2,10,3,8,0,1,1,0,0,11,0,0,0,0,0,4,4,0,0,2,1,2,0,5,1,0,0,5,0,0,4,1,5,0,0,2,1,0,0,2,0,1,0,4,0,0
grain article252.txt,0,3,0,1,2,1,1,0,3,2,1,0,0,0,0,0,3,2,1,1,3,0,0,2,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
grain article246.txt,0,1,0,1,2,0,1,2,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
grain article520.txt,0,3,0,4,5,3,4,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0
grain article508.txt,0,2,0,2,1,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article093.txt,0,3,0,3,2,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article087.txt,0,7,0,3,5,5,5,2,4,0,3,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0
grain article050.txt,0,12,0,3,4,7,4,7,1,1,1,0,0,9,0,0,1,1,1,1,0,0,0,2,1,9,0,0,3,0,0,0,2,3,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0
grain article044.txt,0,1,0,0,0,3,0,0,0,2,0,0,0,12,0,0,1,0,0,0,6,1,0,2,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
grain article124.txt,0,17,0,7,7,1,4,7,6,5,2,0,0,1,0,0,4,0,3,0,0,2,0,0,0,1,0,0,5,0,2,0,1,2,2,0,9,0,1,3,2,0,0,2,2,3,0,3,1,0
grain article130.txt,0,4,0,0,2,0,1,1,0,2,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
grain article118.txt,0,5,0,5,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,1,0,0,0,0,9,1,4,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0
grain article483.txt,0,5,0,5,3,2,2,3,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,3,0,0,0,0,4,0,1,1,0,0,0,2,0,1,0,1,0,0,2,0,0
grain article497.txt,0,27,0,37,10,20,21,1,7,4,7,0,0,19,0,0,0,2,2,2,3,1,0,5,0,11,9,0,3,0,5,14,0,0,0,5,3,0,0,2,0,10,0,0,1,5,0,5,3,0
grain article440.txt,0,11,0,11,10,4,4,1,6,1,10,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,3,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,3,0,3,3,0
grain article326.txt,0,8,0,7,0,2,0,5,2,1,2,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,3,1,0,0,0,1,2,0,1,0,0
grain article332.txt,0,4,0,1,4,0,6,1,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article454.txt,0,1,0,5,0,0,5,0,6,1,0,0,0,11,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
grain article468.txt,0,7,0,3,0,5,2,3,5,5,2,0,0,5,0,0,2,1,2,0,1,0,0,0,0,5,1,0,1,0,1,0,0,1,0,0,4,0,0,1,0,0,0,2,1,0,0,2,0,0
grain article469.txt,0,1,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0
grain article333.txt,0,15,0,3,6,5,4,5,4,2,6,1,0,0,0,0,0,1,0,2,0,3,0,3,2,0,0,1,1,0,2,0,2,1,2,2,0,0,0,1,0,0,1,1,0,0,0,2,0,0
grain article327.txt,0,4,0,2,5,0,2,1,1,4,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
grain article496.txt,0,17,0,11,5,3,2,3,3,6,2,0,0,0,0,0,4,2,6,0,3,4,0,4,0,0,0,0,5,0,0,0,6,0,3,1,0,0,1,2,0,0,1,1,1,0,0,0,1,0
